 Invensys Bottom Part Report for 009-00861.pcb on 8/13/2013 10:24:05 AM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Bottom',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
N230,1180,3165,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N231,3115,2115,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N232,1355,1470,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N233,1095,1435,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N234,1455,1095,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N235,1835,2400,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N236,1260,1095,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N237,1010,1690,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N238,2490,940,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N239,1195,1630,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N240,2220,2755,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N241,1220,1350,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N242,2520,2780,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N243,1620,1335,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N244,1850,1305,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N245,2855,3185,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N247,455,1150,270,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N249,1315,2330,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N250,2245,1990,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N251,1545,2545,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N252,1125,2600,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N253,1840,2565,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N254,2195,2510,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N255,980,2480,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N256,280,2605,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N257,90,1055,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N259,605,1425,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N260,585,1305,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N261,250,885,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N263,615,2215,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N264,295,2160,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N265,345,1590,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N266,340,1950,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N267,2195,2400,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N268,3275,3900,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N269,4000,3590,0,Bottom,TPOINT60,TPOINT60,No,Yes,TESTPOINT .060 DIA RND PAD
N270,845,1430,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N271,2565,2475,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N272,2160,1720,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N273,2470,2415,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N274,3355,3450,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N275,3250,580,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N276,1255,3510,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N277,1355,3470,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N278,1555,3470,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N279,1655,3515,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N280,540,3730,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N281,1455,3515,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N282,860,1325,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N283,2455,3500,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N284,2555,3465,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N285,2855,3500,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N286,3055,3500,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N287,2955,3460,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N288,2655,3500,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N289,2255,3485,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N290,1150,705,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N291,1350,800,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N292,1850,595,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N293,1750,595,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N294,1450,595,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N295,1550,595,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N296,1950,595,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N297,2510,1670,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N298,2510,1860,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N303,3450,2965,180,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N304,3200,2740,180,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N305,4160,945,180,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N307,4220,3335,180,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N308,4160,570,180,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N309,3980,475,180,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N310,3495,440,180,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N311,3515,575,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N312,4110,2685,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N313,3960,2785,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N314,3275,2225,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N315,695,3040,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N316,250,1660,270,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N317,840,1110,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N318,2835,2155,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N319,4075,1200,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
N320,4095,1305,0,Bottom,TPOINT60,TPOINT60,No,Yes,"TESTPOINT .060"" DIA RND PAD"
