 Invensys Top Part Report for 009-00861.pcb on 8/13/2013 10:29:02 AM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
D28,7340,1980,90,Top,003-00050-00,DA500S,No,No,DIODE 1N5232 ZNR 1/2W 5% 5.6V
D29,355,1995,270,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D30,2000,3830,270,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D31,1850,3830,270,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D32,30,3695,270,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D33,1130,1090,90,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D34,1005,1090,90,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D35,325,510,90,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D36,715,1560,270,Top,603-00012-00,DS-SOT23(123),No,Yes,DIODE SOT23 DUAL DIODE BAV99L
D37,720,1310,270,Top,603-00012-00,DS-SOT23(123),No,Yes,DIODE SOT23 DUAL DIODE BAV99L
D38,2750,2435,270,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
F1,3640,3290,0,Top,ZFIDUCIAL-LOCAL,ZFUD-LOCAL,No,Yes,FIDUCIAL- LOCAL
F2,3627,1591,0,Top,ZFIDUCIAL-LOCAL,ZFUD-LOCAL,No,Yes,FIDUCIAL- LOCAL
F3,965,545,0,Top,ZFIDUCIAL-GLOBOL,ZFUD-GLOBAL,No,Yes,FIDUCIAL- GLOBAL
F4,11440,4115,0,Top,ZFIDUCIAL-GLOBOL,ZFUD-GLOBAL,No,Yes,FIDUCIAL- GLOBAL
H1,765,1945,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H2,765,2380,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H3,400,3380,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H4,4140,3875,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H5,3545,2380,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H6,3540,1945,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H7,3895,1365,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H8,7310,4170,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H9,0,0,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H10,0,4350,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H11,4815,245,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H12,11850,0,0,Top,HOLE156,HOLE156,Yes,No,0.156 HOLE
H13,11850,4350,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H14,4790,4170,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H15,7695,245,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H16,11655,255,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H17,11135,4095,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H18,9785,2550,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H19,-200,-200,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H20,-200,200,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H21,-145,260,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H22,-145,760,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H23,-200,760,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H24,-200,1595,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H25,-150,1595,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H26,-150,3860,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H27,-200,3860,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H28,-200,4100,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H29,-200,4160,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H30,-200,4550,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H31,12050,4550,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H32,12050,-200,0,Top,ZLOCATE.001,ZLOC.001,Yes,No,
H33,4550,-200,0,Top,ZLOCATE.002,ZLOC.002,Yes,No,
H34,4550,200,0,Top,ZLOCATE.002,ZLOC.002,Yes,No,
H35,4550,760,0,Top,ZLOCATE.002,ZLOC.002,Yes,No,
H36,4550,1960,0,Top,ZLOCATE.002,ZLOC.002,No,No,
H37,4550,2360,0,Top,ZLOCATE.002,ZLOC.002,No,No,
H38,4550,3410,0,Top,ZLOCATE.002,ZLOC.002,No,No,
H39,4550,3910,0,Top,ZLOCATE.002,ZLOC.002,No,No,
H40,4550,4100,0,Top,ZLOCATE.002,ZLOC.002,No,No,
H41,4550,4160,0,Top,ZLOCATE.002,ZLOC.002,No,No,
H42,4550,4550,0,Top,ZLOCATE.002,ZLOC.002,Yes,No,
H43,4080,4130,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H44,3840,4130,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H45,3960,4130,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H46,480,4130,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H47,600,4130,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H48,720,4130,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H49,-200,4130,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H50,-200,230,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H51,480,230,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H52,3740,290,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H53,720,230,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H54,3620,230,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H55,4520,230,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H56,3860,230,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H57,480,290,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H58,600,290,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H59,720,290,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H60,3860,290,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H61,3620,290,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H62,4520,730,0,Top,ZLOCATE.003,ZLOC.003,Yes,No,
H63,4520,1990,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H64,4360,1990,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H65,4520,2330,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H66,4360,2330,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H67,4520,3880,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H68,4360,3880,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H69,4360,3440,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H70,4520,3440,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H71,4550,4130,0,Top,ZLOCATE.003,ZLOC.003,No,No,
H72,6600,1800,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H73,5958,3690,0,Top,HOLE156,HOLE156,No,No,0.156 HOLE
H74,11695,3390,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H75,6940,1820,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H76,6940,1175,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H77,10440,4290,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H78,10440,3645,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H79,11700,2645,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H80,11700,1995,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H81,9660,1485,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H82,9660,840,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H83,8230,2015,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H84,8230,1370,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H85,11695,4035,0,Top,ZPAD110,ZPAD110,No,No,0.110 PAD
H86,8030,1050,0,Top,STAR-8HOLE,STAR-8HOLE,No,No,STAR-8HOLE
H87,8660,930,135,Top,STAR-5HOLE,STAR-5HOLE,No,No,STAR-5HOLE
H88,9360,1030,90,Top,STAR-5HOLE,STAR-5HOLE,No,No,STAR-5HOLE
H89,7330,950,157,Top,STAR-5HOLE,STAR-5HOLEAA,No,No,STAR-5HOLE
H90,8080,350,0,Top,STAR-8HOLE,STAR-8HOLEA,No,No,STAR-8HOLE
H91,8080,150,90,Top,STAR-8HOLE,STAR-8HOLEAABA,No,No,STAR-8HOLE
H92,7330,345,0,Top,STAR-8HOLE,STAR-8HOLE,No,No,STAR-8HOLE
H93,7330,145,90,Top,STAR-8HOLE,STAR-8HOLEA,No,No,STAR-8HOLE
H94,8660,150,180,Top,STAR-8HOLE,STAR-8HOLEA,No,No,STAR-8HOLE
H95,8660,350,270,Top,STAR-8HOLE,STAR-8HOLEAAAAA,No,No,STAR-8HOLE
H96,9360,140,90,Top,STAR-8HOLE,STAR-8HOLEA,No,No,STAR-8HOLE
H97,9360,340,0,Top,STAR-8HOLE,STAR-8HOLE,No,No,STAR-8HOLE
