 Invensys Top Part Report for 009-00723-01c.pcb on 5/8/2009 2:30:50 PM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
R24,6475,2670,90,Top,601-04089-00,RS0805,No,Yes,RES SMD0805 1/8W 4.7K 5%
R28,2955,2550,90,Top,601-04073-00,RS0805,No,Yes,RES SMD0805 1/8W 1K 5%
R29,3555,2940,270,Top,601-04097-00,RS0805,No,Yes,RES SMD0805 1/8W 10K 5%
R30,2695,2330,270,Top,601-04073-00,RS0805,No,Yes,RES SMD0805 1/8W 1K 5%
R31,3755,2940,90,Top,601-04049-00,RS0805,No,Yes,RES SMD0805 1/8W 100 5%
R32,2955,2820,90,Top,601-04137-00,RS0805,No,Yes,RES SMD0805 1/8W 470K 5%
R33,3055,2820,90,Top,601-04137-00,RS0805,No,Yes,RES SMD0805 1/8W 470K 5%
R34,8140,2200,180,Top,601-04045-00,RS0805,No,Yes,RES SMD0805 1/8W 68 5%
R35,8070,2605,180,Top,601-04045-00,RS0805,No,Yes,RES SMD0805 1/8W 68 5%
R36,8360,2310,180,Top,601-04025-00,RS0805,No,Yes,RES SMD0805 1/8W 10 5%
R37,8360,2420,180,Top,601-04025-00,RS0805,No,Yes,RES SMD0805 1/8W 10 5%
R38,6860,2920,90,Top,601-04049-00,RS0805,No,Yes,RES SMD0805 1/8W 100 5%
R39,6940,2690,180,Top,601-04049-00,RS0805,No,Yes,RES SMD0805 1/8W 100 5%
R40,7245,2690,180,Top,601-04049-00,RS0805,No,Yes,RES SMD0805 1/8W 100 5%
R41,6710,2755,180,Top,601-04049-00,RS0805,No,Yes,RES SMD0805 1/8W 100 5%
R42,6605,2940,270,Top,601-04097-00,RS0805,No,Yes,RES SMD0805 1/8W 10K 5%
R43,6475,2480,90,Top,601-04097-00,RS0805,No,Yes,RES SMD0805 1/8W 10K 5%
R44,6630,2305,90,Top,601-04097-00,RS0805,No,Yes,RES SMD0805 1/8W 10K 5%
R45,7055,2195,0,Top,601-04097-00,RS0805,No,Yes,RES SMD0805 1/8W 10K 5%
R46,7245,2195,180,Top,601-04097-00,RS0805,No,Yes,RES SMD0805 1/8W 10K 5%
R47,7500,2300,270,Top,601-04097-00,RS0805,No,Yes,RES SMD0805 1/8W 10K 5%
R48,9240,2995,0,Top,601-04017-00,RS0805,No,Yes,RES SMD0805 1/8W 4.7 5%
R49,9240,3100,180,Top,601-04017-00,RS0805,No,Yes,RES SMD0805 1/8W 4.7 5%
TP1,2715,2780,0,Top,HOLE020U,HOLE020U,No,No,"HOLE .020"" DIA UNPLATED"
TP4,2715,2930,0,Top,HOLE020U,HOLE020U,No,No,"HOLE .020"" DIA UNPLATED"
U1,1855,2380,270,Top,653-00050-00,US30008,No,Yes,IC SMD 78L05 VOTAGE REGULATOR 5V
U2,3435,2620,180,Top,653-00606-00,US32TQFP,No,Yes,IC 16 KEY QMATRIX TQFT32
U3,7730,2260,270,Top,653-00560-00,US30008,No,Yes,IC RS-485/RS-422 MULTIPOINT TRANSCEIVERS
U4,5835,2550,90,Top,653-00572-00,US-TQFP64,No,Yes,IC MIRCO ATMEGA169
U5,8550,2600,270,Top,653-00050-00,US30008,No,Yes,IC SMD 78L05 VOTAGE REGULATOR 5V
U6,7460,2580,0,Top,653-00559-00,USOT353,No,Yes,IC SINGLE NON-INV BUFFER W/SCHMITT-TRIGGER
V1,3875,3297,0,Top,008-00178-00,V008-00178,No,No,DISP LCD 4 1/2 DIGIT
X108,5855,2995,180,Top,654-00011-00,XS-4.8X13X4.5,No,Yes,XTAL 3.6864 MHz SMT
,,,,,,,,,
 EOF ,,,,,,,,,
